source,target
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
I am agree with you,I agree with you
She go to school everyday,She goes to school every day
He didn't knew the answer,He didn't know the answer
I have 20 years old,I am 20 years old
We was very happy,We were very happy
She don't like coffee,She doesn't like coffee
I am interesting in English,I am interested in English
He explained me the problem,He explained the problem to me
There is many people here,There are many people here
I look forward to see you,I look forward to seeing you
